name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Epattcud X,LTA_Epattcudx,Scrapship Dread Wagon,Epattcud,burndrive,40,25000,1800,20000,17500,750,135,,10,5,2.5,1.5,0.75,4000,NONE,,180,0.4,0.8,,,1250,3500,1750,3000,30,116,7,800000,4,10,720,0.25,100,100,"SHIP_WITH_MODULES, HIDE_IN_CODEX","LTA_Epattcud_bp, rare_bp",0.25,0.4,2,4,666
E-XI 'Lamprey',LTA_Epattcudxi,Scrapship Corvette,Epattcud,ammofeed,4,1500,400,2400,1500,160,45,,170,175,80,90,120,150,OMNI,,90,0.4,1.2,,,10,25,30,30,0.5,60,11,9500,8,10,240,0.25,3,3,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",,0.4,2,2,666
E-XII 'Junkbox',LTA_Epattcudxii,Scrapship Frigate,Epattcud,drone_pd_x2,4,1750,450,2100,1750,140,35,,100,180,120,60,120,250,NONE,,,,,,,15,20,10,10,1,10,10,14500,8,20,240,0.25,4,4,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",0.75,0.4,2,2,666
E-XIII 'JOKE',LTA_Epattcudxiii,Scrapship Destroyer,Epattcud,drone_pd_x2,8,6000,900,5000,3333,300,85,,110,40,20,20,20,700,FRONT,,120,0.4,1,,,50,100,100,80,1.5,53,9,45000,5,12,360,0.25,9,9,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",0.5,0.4,2,3,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-XV 'Wingman',LTA_Epattcudxv,Scrapship Frigate,Epattcud,thermiteflares,4,3000,450,3500,1750,150,50,,120,100,90,60,90,300,FRONT,,180,0.4,1,,,20,40,25,20,1,20,10,9000,8,10,240,0.25,4,4,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",,0.4,2,3,666
E-XVI 'Coffin',LTA_Epattcudxvi,Scrapship Phase Frigate,Epattcud,ammofeed,6,2500,400,3000,2000,200,40,,140,100,90,60,90,300,PHASE,phasecloak,180,,,0.06,0.06,15,20,20,20,1,25,10,12000,10,20,180,0.25,6,6,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",,0.4,2,3,666
E-XVIII 'Lurker',LTA_Epattcudxviii,Scrap Phase Warship,Epattcud,epattcudxviiiteleporter,25,20000,1750,18000,15000,1000,305,,30,12,10,12,10,3500,PHASE,phasecloak,180,,,0.03,0.03,550,750,375,175,15,10,8,500000,4,20,720,0.25,45,45,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",0.75,0.4,2,4,666
E-XIX 'Ghoul',LTA_Epattcudxix,Scrapship Battle Tanker,Epattcud,systemsoverdrive,8,6000,750,5000,3333,300,90,,75,30,15,20,15,1200,OMNI,,120,0.4,1,,,30,60,100,400,1.5,300,9,35000,5,12,360,0.25,10,10,"TANKER, COMBAT, HIDE_IN_CODEX","LTA_Epattcud_bp, rare_bp",,0.4,2,3,666
Epattcud XX,LTA_Epattcudxx,Scrapship Elite Frigate,Epattcud,epattcudxxteleporter,12,3400,500,4000,1750,300,50,,130,120,90,60,90,600,OMNI,,180,0.3,0.9,,,30,40,20,25,1,25,10,250000,8,20,240,0.25,14,14,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",0.5,0.4,2,2,666
E-XXI 'Jerrycan',LTA_Epattcudxxi,Scrapship Tanker,Epattcud,hopperdrive,4,3500,450,2000,3333,150,50,1,70,30,20,25,15,700,NONE,,120,0.4,1,,,10,20,40,500,2,250,8,21000,5,12,360,0.25,6,6,"CARRIER, TANKER, HIDE_IN_CODEX","LTA_Epattcud_bp, rare_bp",,0.75,3,4,666
E-XXII 'Colossn't',LTA_Epattcudxxii,Scrapship Freighter,Epattcud,maneuveringjets,4,4000,350,2750,3333,100,40,,50,30,20,15,7,600,NONE,,90,0.4,1,,,15,30,275,80,2,40,8,20000,5,12,360,0.25,6,6,"FREIGHTER, HIDE_IN_CODEX","LTA_Epattcud_bp, rare_bp",,0.75,3,4,666
E-XXIII 'Wight',LTA_Epattcudxxiii,Scrapship Fast Cruiser,Epattcud,systemsoverdrive,17,12000,1250,11000,16000,600,165,,80,40,25,22,22,2200,OMNI,,120,0.4,1,,,75,125,200,300,3,100,8,180000,4,20,420,0.25,30,30,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",0.5,0.6,2,3,666
E-XXIV 'Princeling',LTA_Epattcudxxiv,Scrapship Line Cruiser,Epattcud,forgevats,15,12500,1125,7500,14000,350,160,,50,30,20,15,15,2400,OMNI,,120,0.4,0.9,,,120,180,150,100,2,50,8,120000,3,15,420,0.25,28,28,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",0.75,0.6,2,3,666
E-XXV 'Brazier',LTA_Epattcudxxv,Scrapship Artillery Destroyer,Epattcud,weaponslock,10,6500,750,4000,3333,200,90,,80,40,20,30,20,500,FRONT,,90,0.4,1,,,60,100,50,50,2,25,9,38000,5,12,420,0.25,10,10,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",,0.4,2,3,666
E-XXVI 'Sconce',LTA_Epattcudxxvi,Scrapship Light Frigate,Epattcud,weaponslock,1,1250,250,2000,1750,150,25,,135,140,100,80,100,250,FRONT,,90,0.4,1,,,2,10,15,15,0.5,30,10,4500,8,10,240,0.25,2,2,HIDE_IN_CODEX,"LTA_Epattcud_bp, rare_bp",,0.4,2,3,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-XXVII 'Caldera',LTA_Epattcudxxvii,Scrapship Dreadnaught,Epattcud,weaponsclamp,28,25000,1500,17000,15000,600,275,,35,8,8,6,4,4500,NONE,,,,,,,500,800,400,500,15,33,7,350000,3,12,720,0.25,50,50,"SHIP_WITH_MODULES, HIDE_IN_CODEX","LTA_Epattcud_bp, rare_bp",0.75,0.4,2,6,666
E-XXVIII 'Nibbler',LTA_Epattcudxxviii,Scrapship Liner,Epattcud,hopperdrive,7,3000,175,1500,1700,85,40,,45,30,20,15,10,450,NONE,,150,0.5,1,,,15,350,176,60,2,30,8,21000,4,20,360,0.25,7,7,"TRANSPORT, SHIP_WITH_MODULES, HIDE_IN_CODEX","LTA_Epattcud_bp, rare_bp",,0.75,2,3,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Upcycled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upcycled 'Mitigator',LTA_Epattcudvi_Upcycled,Warship,Upcyclers' Sect,colatlusdrive,30,20000,1750,18000,15000,850,285,2,45,10,10,8,4,3500,OMNI,,120,0.4,1,,,700,1050,400,500,15,33,8,320000,3,12,720,0.25,45,45,"HIDE_IN_CODEX, SHIP_WITH_MODULES",,0,0.4,2,4,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Nebula,nebula,Civilian Transport,Midline,flarelauncher,5,3000,175,1500,1700,85,40,,55,35,20,20,12,450,FRONT,,150,0.5,1,,,15,400,120,80,2,40,8,20000,4,20,240,0.25,4,4,"CIVILIAN, LINER",base_bp,,,2,3,313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Pirate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Frigates:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Destroyers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cruisers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Capital Ships:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colatlus,LTA_Colatlus,Modified Modification,Pirate,colatlusdrive,20,19000,1600,12000,13000,500,225,2,40,20,2.5,6,6,15000,OMNI,,90,0.3,1,,,300,500,400,600,10,100,8,325000,5,15,720,0.25,35,35,,"rare_bp, pirate_bp",0.75,0.6,2,10,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Hegemony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Frigates:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mask,LTA_Mask,Frigate,Low Tech,ammofeed,5,2000,400,2000,1750,130,45,,120,110,90,60,90,200,FRONT,,180,0.5,1,,,20,45,40,25,1,25,10,8000,8,10,240,0.25,4,4,,lowtech_bp,,0.4,2,2,999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Destroyers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Scourer has +30 op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cruisers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defender,LTA_Defender,Light Cruiser,Low Tech,ammofeed,14,12000,1250,7000,4000,350,115,,60,25,12,12,12,1800,OMNI,,150,0.4,1,,,125,200,100,60,3,20,8,100000,4,12,540,0.25,20,20,,lowtech_bp,,0.4,2,3,999
Scourer (XIV),LTA_Scourerxiv,Super Heavy Light Cruiser,XIV Battlegroup,ammofeed,15,12000,1450,9000,9000,550,140,1,40,25,12,12,12,2250,OMNI,,150,0.4,1,,,200,300,125,125,4,31,8,160000,4,12,540,0.25,20,20,,XIV_bp,,0.4,2,3,999
Mason,LTA_Mason,Blockade Runner,Low Tech,burndrive,13,11000,1450,10000,9000,600,150,,25,22,10,12,12,2500,FRONT,,180,0.4,0.9,,,175,300,550,230,5,46,8,120000,4,12,540,0.25,25,25,,lowtech_bp,,0.4,2,3,999
Cravantia,LTA_Cravantia,Heavy Cruiser,Low Tech,ammofeed,15,12000,1400,12000,9000,500,160,,35,18,10,12,12,2250,FRONT,,180,0.4,1,,,175,300,150,150,5,30,8,125000,4,12,540,0.25,25,25,,lowtech_bp,,0.4,2,3,999
Corsair,LTA_Corsair,Artillery Ship,Low Tech,burndrive,15,10000,1500,10000,9000,450,105,,30,20,10,12,12,2250,FRONT,,150,0.5,1,,,200,300,125,150,5,30,8,125000,4,12,540,0.25,22,22,,lowtech_bp,,0.4,2,3,999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Capital Ships:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Derelict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Frigates:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Destroyers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cruisers:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastion,LTA_Bastion,Drone Comet Cracker,Explorarium,burndrive,8,9000,1300,10000,5625,400,130,,65,30,15,12,12,1900,NONE,,0,0,0,,,0,0,80,50,3,17,8,110000,5,12,600,0.25,20,20,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,3,413
Portcullis,LTA_Portcullis,Drone Ordnance Ship,Explorarium,burndrive,10,10000,1400,10000,5625,450,105,,45,25,12,12,12,2000,NONE,,0,0,0,,,0,0,100,60,4,15,8,120000,5,12,600,0.25,22,22,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,3,414
Skull,LTA_Skull,Drone Siege Ship,Explorarium,forgevats,10,11000,1500,10000,5625,500,165,,35,20,10,12,10,2200,NONE,,0,0,0,,,0,0,100,60,4,15,8,130000,5,12,600,0.25,25,25,"UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,3,415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Capital Ships:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbican,LTA_Barbican,Drone Asteroid Cracker,Explorarium,burndrive,20,22000,1600,16000,9999,600,115,,20,10,5,6,5,4500,NONE,,0,0,0,,,0,0,250,200,15,13,7,400000,4,12,840,0.25,40,40,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,4,416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Luddic Path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Modules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EpattcudX:,LeftWingHas+20OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right Wing,LTA_Epattcudxmodulerightwing,,,reclaimedminestrike,,20000,1800,18000,12500,550,225,3,10,10,10,10,10,4000,FRONT,,90,0.25,0.8,,,,,,,1,,4,300000,1,10,720,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,4,666
Left Wing,LTA_Epattcudxmoduleleftwing,,,ammofeed,,24000,1800,12000,12500,600,200,,10,10,10,10,10,4000,NONE,,,,,,,,,,,1,,4,300000,1,10,720,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,4,666
Right Engine,LTA_Epattcudxmodulerightengine,,,fastmissileracks,,16000,1800,7500,4000,300,75,,10,10,10,10,10,4000,NONE,,,,,,,,,,,1,,4,200000,1,10,720,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,4,666
Left Engine,LTA_Epattcudxmoduleleftengine,,,fastmissileracks,,16000,1800,7500,4000,300,75,,10,10,10,10,10,4000,NONE,,,,,,,,,,,1,,4,200000,1,10,720,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,4,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Other Pirate:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autofactory Abomination,LTA_Epattcudxxviii_Module,,Low Tech,systemsoverdrivemodule,6,5000,750,4000,3333,200,60,,10,10,10,10,10,500,FRONT,,150,0.4,1.2,,,,,,,1,,4,38000,1,10,420,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,3,666
Armor,LTA_Epattcudvi_Upcycled_Module,,Low Tech,,2,8571,2000,2000,3333,150,35,,10,10,10,10,10,15000,NONE,,,,,,,,,,,1,,4,20000,1,10,720,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,3,666
Pod-Bay,LTA_PortableBay,Portable,Pirate,LTA_drone_pd,4,2000,250,3500,1750,150,1,1,0,0,50,20,20,700,OMNI,,90,0.4,1,,,0,0,,,1,,4,9000,1,25,300,0.25,4,4,"UNBOARDABLE, CARRIER, HIDE_IN_CODEX",,,0.4,2,3,666
Armor Plate,LTA_EpattcudArmor,Ship Armor,Pirate,,1,5000,1500,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,0.4,2,3,666
Missile Platform,LTA_Epattcudxxvii_Module_Front,Module,Pirate,,1,5000,1500,2000,2500,100,30,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,3,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighter Modules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LTA_ModularFighterShield_Module,,,,,100,25,2000,2000,100,0,,10,10,10,10,10,25,FRONT,,90,0.4,1.2,,,0,0,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Barbican:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left Module,LTA_Barbicanleftmodule,,,targetingfeed,,16000,1600,7500,6000,450,60,1,10,10,10,10,10,2000,NONE,,,,,,,,,,,1,,4,150000,1,10,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,4,416
Right Module,LTA_Barbicanrightmodule,,,targetingfeed,,16000,1600,7500,6000,450,80,1,10,10,10,10,10,2000,NONE,,,,,,,,,,,1,,4,150000,1,10,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,4,416
Gun Platform,LTA_Barbicanfrontmodule,,,ammofeed,,18000,1600,7500,6000,550,160,,10,10,10,10,10,2000,NONE,,,,,,,,,,,1,,4,200000,1,10,840,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,4,416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tappah,LTA_Tappah_Wing,,Low Tech,hopperdrive,,1500,100,400,,15,0,,175,300,200,60,140,100,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,999
Tappah (LP),LTA_Tappahlp_Wing,,Luddic Path,,,1000,250,400,,15,0,,175,300,200,60,140,100,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,911
Ballista Drone,LTA_Ballista_Wing,,Explorarium,hopperdrive,,1600,200,300,,10,0,,150,250,200,60,140,100,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,416
Archer Drone,LTA_Archer_Wing,,Explorarium,hopperdrive,,700,100,250,,10,0,,200,300,200,120,200,25,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,416
Flurry Talon,LTA_RocketTalon_Wing,,Low Tech,,,250,50,400,,100,0,,300,400,300,150,300,15,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,666
Flurry Talon Skirmisher,LTA_RocketTalonP_Wing,,Low Tech,systemsoverdrivemaneuveringfighter,,250,50,400,,100,0,,300,400,300,150,300,15,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,666
Jackhammer,LTA_Jackhammer_Wing,,Low Tech,systemssidedrivesafe,,1500,200,3500,,200,0,,150,300,200,200,140,100,FRONT,,90,0.4,2,,,2,2,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,666
Talon X,LTA_TalonX_Wing,,Low Tech,systemssidedrive,,500,100,1000,,75,0,,275,300,200,200,300,20,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,666
Diadem,LTA_Diadem_Wing,,Low Tech,ammofeed,,1000,200,400,,60,0,,150,300,200,60,140,100,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,0,,,999
Diadem (P),LTA_DiademP_Wing,,Pirate,systemsoverdrive,,1000,200,400,,60,0,,150,300,200,60,140,100,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,0,,,666
Mod Diadem,LTA_ModDiadem_Wing,,Low Tech,LTA_highenergyfocus,,750,150,400,,60,0,,150,300,200,60,140,100,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,0,,,666
Diadem (XIV),LTA_DiademXIV_Wing,,XIV Battlegroup,ammofeed,,1200,250,400,,60,0,,100,200,200,60,140,100,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,0,,,999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talon,LTA_Talonduo_Wing,,Low Tech,,,200,25,400,,100,0,,325,400,300,150,300,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,100
