name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Snapcracker Gun (1x400 Energy & 150 EMP),LTA_snapcrackergunR,2,,6000,1200,1,400,150,30,20,18,4,0.1,,ENERGY,500,,2,2.75,1,,0,5,1,10,,1200,,,75,"SYSTEM, CONSERVE_1","energy18, he17, kinetic17, strike0",,,,Anti Armor,,,,,,,,,,666
Snapcracker Gun,LTA_snapcrackergunshipL,2,,6000,900,1,400,150,30,20,18,4,0.1,,ENERGY,500,,2,2.75,1,,0,5,1,10,,1200,,,75,"SYSTEM, CONSERVE_1","energy18, he17, kinetic17, strike0",,,,Long Range Support,,,,,,,,,,666
Snapcracker Gun,LTA_snapcrackergunshipR,2,,6000,900,1,400,150,30,20,18,4,0.1,,ENERGY,500,,2,2.75,1,,0,5,1,10,,1200,,,75,"SYSTEM, CONSERVE_1","energy18, he17, kinetic17, strike0",,,,Long Range Support,,,,,,,,,,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapcracker Cannon (3x400 Energy & 150 EMP),LTA_snapcrackercannonl,2,,6000,1000,1,400,150,30,20,22,,,,ENERGY,500,,2,4.25,3,0.25,0,7.5,2.5,10,,1200,,,75,"SYSTEM, CONSERVE_1","energy18, he17, kinetic17, strike0",,,,Anti Armor,,,,,,,,,,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Vulcan Cannon,LTA_vulcansingle,1,,200,250,,25,,1,75,3,,,,FRAGMENTATION,2,,0,0.1,1,,0,15,1,15,,800,,,10,"SYSTEM, PD","pd7, SR",,,,Point Defense,,,,,,,,,,999
#Nixie Cannon,LTA_nixie,1,,350,400,,25,,1,75,4,,,,ENERGY,4,,0,0.1,1,,0,2,0.1,2,,1200,,,10,PD,"pd7, SR",,,,Point Defense,,,,,,,,,,999
Nixie Cannon,LTA_nixie,1,,350,450,,25,10,10,75,5,,,,ENERGY,20,,0,0.2,1,,0,20,1,10,,1500,,,10,"PD,PD_ALSO, ANTI_FTR","energy18, pd7, SR, lowtech_bp, midline_bp",,,,Point Defense/Pressure,,,,,"When impacting, the plasma inside the projectile scatters, dealing 5 to 10 High Explosive damage in a tiny explosion.",,,,,999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nixie Tri-Cannon,LTA_nixietri,1,,2000,600,,25,10,10,50,10,,,,ENERGY,20,,0.69,0,15,0.04,0,20,0.4,10,,1500,,,10,"PD,PD_ALSO, ANTI_FTR","energy18, pd7, SR, lowtech_bp, midline_bp",,,,Point Defense/Pressure,,,,,"When impacting, the plasma inside the projectile scatters, dealing 5 to 10 High Explosive damage in a tiny explosion.",,,,,999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nixie Array,LTA_nixiearray,1,,8000,750,,25,10,10,20,20,,,,ENERGY,18,,0,0.12,5,0.02,0,20,0.2,5,,1500,,,10,"PD,PD_ALSO, ANTI_FTR","energy18, pd7, SR, lowtech_bp, midline_bp",,,,Point Defense/Pressure,,,,,"When impacting, the plasma inside the projectile scatters, dealing 5 to 10 High Explosive damage in a tiny explosion.",,,,,999
Hypervelocity Cannon,LTA_hypervelocitycannon,3,0.8,10000,1000,,275,400,40,8,22,,,,KINETIC,350,,0,1.5,2,0.5,,,,,,1000,,,300,,"kinetic15, LR, remnant, rare_bp",,,,Anti Shield,,,,,,,,,,999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal Pulse Turret,LTA_tpcturret,0,,100000,900,,250,,0,5,,6,1,9,ENERGY,200,,2,2,9,0.2,0,10,1,5,,1000,,,,"SYSTEM, SHOW_IN_CODEX",,TPC_only,,,Pressure,,,,,,,,,,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Portable Hangar Bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pod-Bay Hangar (Talon),LTA_portablebaytalon,1,0.8,10000,4000,,2000,,1000,10,20,1,,,HIGH_EXPLOSIVE,1000,,2,178,1,,0,0,0,0,,70,500,4,1000,"DO_NOT_AIM, DO_NOT_CONSERVE","utility13, missile7, rare_bp, pirate_bp",,,,Long Range Support,N/A,Fighter,,,,,,,TRUE,666
Pod-Bay Hangar (Piranha),LTA_portablebaypiranha,2,0.8,10000,4000,,2000,,1000,10,30,1,,,HIGH_EXPLOSIVE,1000,,2,178,1,,0,0,0,0,,70,500,4,1000,"DO_NOT_AIM, DO_NOT_CONSERVE","utility13, missile7, rare_bp, pirate_bp",,,,Long Range Support,N/A,Fighter,,,,,,,TRUE,666
Pod-Bay Hangar (Diadem [P]),LTA_portablebaydiademp,1,0.8,10000,4000,,2000,,1000,10,25,1,,,HIGH_EXPLOSIVE,1000,,2,178,1,,0,0,0,0,,70,500,4,1000,"DO_NOT_AIM, DO_NOT_CONSERVE","utility13, missile7, rare_bp, pirate_bp",,,,Long Range Support,N/A,Fighter,,,,,,,TRUE,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# DECORATIVES (LIFTED FROM TADA, WILL BE REMOVED AFTER TOURNAMENT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zvernier,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Diadem Top,LTA_diadem_top_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,13
Diadem(P) Top,LTA_diademp_top_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,13
Mod Diadem Top,LTA_moddiadem_top_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,13
Diadem(XIV) Top,LTA_diademxiv_top_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DECORATIVE Ship Overlays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epattcudxxv Overlay,LTA_epattcudxxv_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,666
Epattcudxxvi Overlay,LTA_epattcudxxvi_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamprey Lights,LTA_lights_epattcudxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,666
